"Int_no";"Rue_1";"Rue_2";"X";"Y"
1170;"Berri";"Émile-Journault";293683,;5045239,
1171;"Berri";"Fleury";292123,;5045874,
1172;"Berri";"Legendre";293443,;5045337,
1173;"Berri";"Louvain";292963,;5045533,
1174;"Berri";"Prieur";291883,;5045973,
1175;"Berri";"Sauriol";292363,;5045775,
1176;"Berri";"Sauvé";292623,;5045669,
1177;"Chabanel";"Christophe-Colomb";293626,;5046357,
1178;"Chabanel";"Lajeunesse";293234,;5045507,
1179;"Chabanel";"Saint-Hubert";293367,;5045834,
1180;"Christophe-Colomb";"Émile-Journault";294070,;5046172,
1181;"Christophe-Colomb";"Louvain";293363,;5046457,
1182;"Christophe-Colomb";"Fleury";292512,;5046813,
1183;"Christophe-Colomb";"Étienne-Blanchard";294269,;5046090,
1184;"Christophe-Colomb";"Legendre";293845,;5046262,
1185;"Christophe-Colomb";"Prieur";292274,;5046913,
1186;"Christophe-Colomb";"Sauriol";292753,;5046712,
1187;"Christophe-Colomb";"Sauvé";292994,;5046611,
1188;"Émile-Journault";"Lajeunesse";293713,;5045308,
1189;"Émile-Journault";"Saint-Hubert";293852,;5045639,
1190;"Fleury";"Georges-Baril";292388,;5046510,
1191;"Fleury";"Hamel";292579,;5046971,
1192;"Fleury";"Lajeunesse";292158,;5045956,
1193;"Fleury";"Saint-Hubert";292291,;5046280,
1194;"Lajeunesse";"Legendre";293473,;5045407,
1195;"Lajeunesse";"Louvain";292992,;5045608,
1196;"Lajeunesse";"Sauriol";292397,;5045856,
1197;"Lajeunesse";"Sauvé";292648,;5045752,
1198;"Legendre";"Saint-Hubert";293607,;5045739,
1199;"Louvain";"Saint-Hubert";293126,;5045934,
1200;"Prieur";"Saint-Hubert";292052,;5046380,
1201;"Saint-Hubert";"Sauriol";292530,;5046178,
1202;"Saint-Hubert";"Sauvé";292772,;5046078,
1203;"Beauharnois";"Saint-Laurent";293490,;5044761,
1204;"Chabanel";"Saint-Laurent";293003,;5044959,
1205;"Esplanade";"Fleury";291792,;5045100,
1206;"Fleury";"Saint-Laurent";291925,;5045411,
1207;"Legendre";"Saint-Laurent";293247,;5044858,
1208;"Louvain";"Saint-Laurent";292740,;5045066,
1209;"Meilleur";"Sauvé";291961,;5044476,
1210;"Port-Royal";"Saint-Laurent";292527,;5045154,
1211;"Prieur";"Saint-Laurent";291686,;5045514,
1212;"Saint-Laurent";"Sauriol";292107,;5045333,
1213;"Saint-Laurent";"Sauvé";292317,;5045241,
1214;"Sauvé";"Tolhurst";292098,;5044766,
1215;"Bocage";"Laurentien";287234,;5043459,
1216;"Camille";"Gouin/Ruisseau";284978,;5041184,
1217;"Dudemaine";"Élie-Blanchard";289409,;5043522,
1218;"Dudemaine";"O'Brien";289116,;5043195,
1219;"Beaubien";"Esplanade";296081,;5043154,
1220;"Gouin";"Grenet";287627,;5043626,
1221;"Gouin";"Henri-d'Arles";286798,;5042981,
1222;"Gouin";"Hôpital du Sacré-Coeur";287905,;5043817,
1223;"Gouin";"Lachapelle";287477,;5043502,
1224;"Gouin";"Laurentien";287362,;5043334,
1225;"Gouin";"Miséricorde";287802,;5043734,
1226;"Gouin";"O'Brien";288121,;5044084,
1227;"Gouin";"Somerset";287173,;5043221,
1228;"Gouin";"Toupin";286334,;5042700,
1229;"Grenet";"Salaberry";288168,;5043100,
1230;"Guertin";"Salaberry";288790,;5043803,
1231;"Keller";"Marcel-Laurin";288226,;5042794,
1232;"Lachapelle";"Salaberry";288058,;5042971,
1233;"Louisbourg";"Marcel-Laurin";288290,;5042748,
1234;"Laurentien";"Salaberry";288001,;5042921,
1235;"Louisbourg";"O'Brien";288877,;5043414,
1236;"Meulles";"Salaberry";288319,;5043267,
1237;"O'Brien";"Salaberry";288634,;5043629,
1238;"Saint-Jacques";"6645 Saint-Jacques (Loblaws)";294962,;5035644,
1239;"Acadie";"Chabanel";292527,;5043731,
1240;"Acadie";"Charles-Gill";290409,;5044005,
1241;"Acadie";"Dudemaine";290050,;5044238,
1242;"Acadie";"Henri-Bourassa";290672,;5043835,
1243;"Saint-Dominique";"Saint-Zotique";296101,;5043621,
1244;"André-Ampère";"Armand-Bombardier";297551,;5054987,
1245;"Acadie";"Louisbourg";289798,;5044407,
1246;"Acadie";"Louvain";292249,;5043847,
1247;"Acadie";"Persillier";291146,;5043796,
1248;"1 ere Avenue";"Jean-Talon";296918,;5046109,
1249;"Acadie";"Sauvé";291866,;5043983,
1250;"Acadie";"Port-Royal";292005,;5043960,
1251;"Bois-de-Boulogne";"Henri-Bourassa";290851,;5044240,
1252;"Bois-de-Boulogne";"Saint-Réal/Salaberry";289627,;5044781,
1253;"Dudemaine";"James-Morrice";289723,;5043874,
1254;"Dudemaine";"Pasteur";289907,;5044078,
1255;"Notre-Dame";"5376 Est (Vopak accès Ouest)";302850,;5046790,
1256;"James-Morrice";"Salaberry";289269,;5044283,
1257;"Poutrincourt";"Salaberry";289179,;5044196,
1258;"Bates";"Wilderton";294539,;5041497,
1259;"1 ere Avenue";"Masson";298821,;5045046,
